kp,sentence_text,match_score,comment_id,sentence_id,sents_in_comment,span_start,span_end,num_tokens,argument_quality
none,1 of the Federal Constitution to formal decisions of.,0.0,42#9,3,6,159,212,9,0.30063992738723755
none,"10078/82, Dec.
13.12.84, D.R.",0.0,42#4,9,13,343,373,8,0.34319981932640076
none,"11208/84, Dec. 4.3.86, D.R.",0.0,42#4,7,13,300,327,8,0.35653528571128845
none,26) of the Convention is.,0.0,42#3,2,10,111,136,5,0.2924714684486389
none,"3) of the Convention,
the Commission has held that raising criminal charges against the.",0.0,42#4,2,13,66,155,14,0.3271684944629669
none,41 p. 103; No.,0.0,42#4,10,13,374,388,4,0.32130753993988037
none,46 p. 182; No.,0.0,42#4,8,13,328,342,4,0.3195398151874542
none,"5964/72, Dec. 29.9.75, D.R.",0.0,42#3,8,10,365,392,8,0.33853790163993835
none,"5964/72, Dec. 29.9.75, D.R.",0.0,42#4,11,13,389,416,8,0.33853790163993835
none,"Constitutional Court, in its decision of 28 November 1989, declared the.",0.0,42#10,1,8,6,78,11,0.30798983573913574
none,"In the course of these proceedings, the.",0.0,42#7,0,3,0,40,7,0.3191542625427246
none,"In these circumstances, the Commission finds that the applicant's.",0.0,42#11,0,6,0,66,9,0.32898348569869995
none,The Commission observes that the basis of the rule of exhaustion.,0.0,42#3,0,10,0,65,11,0.3153930604457855
none,The Commission refers to its above findings that under Austrian.,0.0,42#13,0,5,0,64,10,0.28568634390830994
none,The applicant's submissions do not disclose any special.,0.0,42#12,0,4,0,56,8,0.4209974408149719
none,They further consider that she failed.,0.0,42#1,0,4,0,38,6,0.37301960587501526
none,a view to claiming compensation in particular as regards the alleged.,0.0,42#8,1,3,65,134,11,0.37538328766822815
none,administrative authorities or the exercise of direct administrative.,0.0,42#9,4,6,214,282,8,0.38389354944229126
none,"administrative authority and coercion, even if such insulting remarks.",0.0,42#10,6,8,366,436,9,0.4586507976055145
none,allegations of the applicant's husband were carefully examined at two.,0.0,42#7,1,3,42,112,10,0.3787010908126831
none,alleged damage by domestic means within the framework of its own legal.,0.0,42#3,5,10,276,347,12,0.41473355889320374
none,amount to an administrative act relating to the exercise of direct.,0.0,42#10,5,8,297,364,11,0.307757705450058
none,assault which had to be prosecuted ex officio and,0.0,42#2,1,2,68,117,9,0.37643030285835266
none,authority and coercion against a particular individual.,0.0,42#9,5,6,284,339,7,0.489240825176239
none,competence of the Constitutional Court to receive complaints about the.,0.0,42#9,1,6,6,77,10,0.30706343054771423
none,competence to entertain this complaint.,0.0,42#1,3,4,178,217,5,0.3262616693973541
none,complaint to the Constitutional Court about ill-treatment does not.,0.0,42#11,1,6,68,135,10,0.34059590101242065
none,constitute an effective and sufficient remedy for the purposes of.,0.0,42#11,2,6,137,203,10,0.38030874729156494
none,detrimental consequences of the events in question.,0.0,42#8,2,3,136,187,7,0.7049095630645752
