kp,sentence_text,match_score,comment_id,sentence_id,sents_in_comment,span_start,span_end,num_tokens,argument_quality
none,"(see Olivier de Schutter's commentary on that judgment in Revue trimestrielle des droits de l'homme, Brussels, 1997, pp.",0.0,20#45,0,2,0,120,18,0.44154345989227295
none,"(see the Buckley v. the United Kingdom judgment of 25 September 1996, Reports of Judgments and Decisions 1996-IV, pp.",0.0,20#18,0,3,0,117,20,0.41173622012138367
none,"(see the Dudgeon judgment cited above, the Norris v. Ireland judgment of 26 October 1988, Series A no.",0.0,20#21,0,3,0,102,18,0.45327597856521606
none,"(see, mutatis mutandis, the Dudgeon v. the United Kingdom judgment of 22 October 1981, Series A no.",0.0,20#7,0,3,0,99,17,0.3466317057609558
none,"142, and the Modinos v. Cyprus judgment of 22 April 1993, Series A no.",0.0,20#21,1,3,103,173,14,0.3860325813293457
none,"45, p. 21, para.",0.0,20#3,1,3,202,218,4,0.3221283257007599
none,"45, p. 21, para.",0.0,20#7,1,3,100,116,4,0.3221283257007599
none,8) of the European Convention on Human Rights.,0.0,20#40,1,2,149,195,8,0.43840986490249634
none,"Accordingly, the Court considers that the reasons given by the national authorities for the measures taken in respect of the applicants were relevant and sufficient for the purposes of Article 8 para.",0.0,20#47,0,3,0,200,32,0.41530439257621765
none,"Can one consider that adolescents taking part in sado-masochistic activities have given their free and informed consent where their elders have used various means of enticement, including financial reward?",0.0,20#39,0,1,0,205,30,0.584053099155426
none,Contracting States should enjoy a wide margin of appreciation to consider all the public-policy options.,0.0,20#15,0,3,0,104,16,0.6373559832572937
none,"Furthermore, no complaint was ever made to the police - who learnt about the applicants' activities by chance (see paragraph 8 above).",0.0,20#10,0,1,0,134,21,0.5480707883834839
none,"However, only a few charges were selected for inclusion in the prosecution case.",0.0,20#30,0,1,0,80,13,0.4408842921257019
none,"However, since this point has not been disputed by those appearing before it, the Court sees no reason to examine it of its own motion in the present case.",0.0,20#6,0,1,0,155,29,0.4241696894168854
none,"In any event, like the Court of Appeal, the Court does not consider that the facts in the Wilson case were at all comparable in seriousness to those in the present case (see paragraph 30 above).",0.0,20#28,0,1,0,194,36,0.4361051321029663
none,"In the present case, the applicants were involved in consensual sado-masochistic activities for purposes of sexual gratification.",0.0,20#2,0,1,0,129,18,0.5741618871688843
none,"In these circumstances, bearing in mind the degree of organisation involved in the offences, the measures taken against the applicants cannot be regarded as disproportionate.",0.0,20#48,0,1,0,174,26,0.5448064804077148
none,"In this respect it is recalled that the activities were considered by Lord Templeman to be ""unpredictably dangerous"" (see paragraph 20 above).",0.0,20#24,0,1,0,142,22,0.5167233943939209
none,"In this respect, acts of torture - such as those in issue in the present case - may be banned also on the ground that they undermine the respect which human beings should confer upon each other.",0.0,20#13,0,1,0,194,35,0.5988460779190063
none,It is evident from the facts established by the national courts,0.0,20#52,0,1,0,63,11,0.40771132707595825
none,"It may thus be open to question whether the sexual activities of the applicants fell entirely within the notion of ""private life"" in the particular circumstances of the case.",0.0,20#5,0,1,0,174,29,0.5125739574432373
none,It seems to me that the wording used by the Court in paragraph 42 is too vague.,0.0,20#41,0,1,0,79,17,0.4143374562263489
none,Nor does the Court accept the applicants' submission that no prosecution should have been brought against them since their injuries were not severe and since no medical treatment had been required.,0.0,20#50,0,1,0,197,31,0.4934157431125641
none,"Relevant factors include the nature of the Convention right in issue, its importance for the individual and the nature of the activities concerned",0.0,20#17,0,1,0,146,23,0.5122793912887573
none,"The Court considers that one of the roles which the State is unquestionably entitled to undertake is to seek to regulate, through the operation of the criminal law, activities which involve the infliction of physical harm.",0.0,20#46,0,1,0,222,36,0.5184847712516785
none,The Court finds no evidence in support of the applicants' allegations in either the conduct of the proceedings against them or the judgment of the House of Lords.,0.0,20#25,0,1,0,162,28,0.5393543243408203
none,The State was moreover entitled to prohibit activities because of their potential danger.,0.0,20#12,0,1,0,89,13,0.4313458800315857
none,The applicants have further submitted that they were singled out partly because of the authorities' bias against homosexuals,0.0,20#51,0,1,0,124,18,0.6289923787117004
none,"The case could have been looked at differently, both in domestic law and subsequently under the Convention.",0.0,20#38,0,1,0,107,17,0.4569413959980011
none,The concept of private life cannot be stretched indefinitely.,0.0,20#31,0,1,0,61,10,0.45489639043807983
none,The scope of this margin of appreciation is not identical in each case but will vary according to the context.,0.0,20#16,0,1,0,110,20,0.5219624042510986
none,"There can be no doubt that sexual orientation and activity concern an intimate aspect of private life (see, mutatis mutandis, the Dudgeon v. the United Kingdom judgment of 22 October 1981, Series A no.",0.0,20#3,0,3,0,201,34,0.42968249320983887
none,This submission was contested by the Government and by a majority of the Commission.,0.0,20#8,0,1,0,84,14,0.46686306595802307
none,that the applicants' sado-masochistic activities involved a significant degree of injury or wounding which could not be characterised as trifling or transient.,0.0,20#22,0,1,0,159,23,0.5432472825050354
"Sexual acts and abuse, even when not criminal, give rise to liability.","Sexual acts and abuse, even when not criminal, give rise to liability.",1.0,20#37,0,1,0,70,12,0.6665525436401367
"Sexual acts and abuse, even when not criminal, give rise to liability.",Other types of behaviour may give rise to civil proceedings (internal telephone tapping for example).,0.9994961023330688,20#36,0,1,0,101,15,0.7407212853431702
"Sexual acts and abuse, even when not criminal, give rise to liability.",The Court notes that the charges of assault were numerous and referred to illegal activities which had taken place over more than ten years.,0.9964829683303833,20#29,0,1,0,140,24,0.5335041880607605
"Sexual acts and abuse, even when not criminal, give rise to liability.","It is already the case in criminal law that the ""rape"" of a spouse where there is doubt whether consent was given may lead to prosecution.",0.9946461319923401,20#35,0,1,0,138,26,0.5853458046913147
"Sexual acts and abuse, even when not criminal, give rise to liability.","It seemed to me necessary to expand paragraph 43 by noting ""to regulate and punish practices of sexual abuse that are demeaning even if they do not involve the infliction of physical harm"".",0.9903655052185059,20#42,0,1,0,189,33,0.5396167635917664
"Sexual acts and abuse, even when not criminal, give rise to liability.",This is so whether the activities in question occur in the course of sexual conduct or otherwise.,0.9863623976707458,20#19,0,1,0,97,17,0.49872687458992004
"Sexual acts and abuse, even when not criminal, give rise to liability.",The fact that the behaviour concerned takes place on private premises does not suffice to ensure complete immunity and impunity.,0.9836332201957703,20#33,0,1,0,128,20,0.5979968905448914
"Sexual acts and abuse, even when not criminal, give rise to liability.","In domestic law, sado-masochistic activities could be made the subject of a specific criminal offence without that being contrary to Article 8 (art.",0.9771822094917297,20#40,0,2,0,148,24,0.463288813829422
"Sexual acts and abuse, even when not criminal, give rise to liability.","The dangers of unrestrained permissiveness, which can lead to debauchery, paedophilia (see paragraph 11 of the judgment) or the torture of others, were highlighted at the Stockholm World Conference.",0.9578427672386169,20#43,0,1,0,198,29,0.6965680122375488
Not everything that happens behind closed doors is necessarily acceptable.,Not everything that happens behind closed doors is necessarily acceptable.,1.0,20#34,0,1,0,74,10,0.5782530903816223
Not everything that happens behind closed doors is necessarily acceptable.,The Court observes that not every sexual activity carried out behind closed doors necessarily falls within the scope of Article 8 (art.,0.9996564388275146,20#1,0,2,0,135,22,0.428850919008255
Not everything that happens behind closed doors is necessarily acceptable.,Not every aspect of private life automatically qualifies for protection under the Convention.,0.9879325032234192,20#32,0,1,0,93,13,0.6489443182945251
