kp,sentence_text,match_score,comment_id,sentence_id,sents_in_comment,span_start,span_end,num_tokens,argument_quality
none,(including the S.A.S soldiers and Security Service personnel involved.,0.0,38#18,1,8,59,129,11,0.3697718381881714
none,2) imposes a duty on States to adopt clear and.,0.0,38#10,2,5,37,84,10,0.3737824261188507
none,2) of the Convention raise complex issues of fact and.,0.0,38#19,2,4,81,135,10,0.42807289958000183
none,"2) requires, in addition, that States.",0.0,38#26,2,5,35,73,6,0.33408382534980774
none,26) of the Convention must be applied to reflect the practical.,0.0,38#5,2,10,121,184,11,0.3616108298301697
none,"30 p. 96, at p. 102).",0.0,38#20,8,9,134,155,6,0.38428476452827454
none,"35, p. 15, para.",0.0,38#20,5,9,75,91,4,0.3235088586807251
none,"9013/80, Dec.
11.12.82, D.R.",0.0,38#20,7,9,104,133,8,0.33727434277534485
none,"9118/80, Dec.
9.3.83, D.R.",0.0,38#5,8,10,383,410,8,0.3502131998538971
none,"9248/81, Dec. 10.10.83, D.R.",0.0,38#5,6,10,336,364,8,0.34528201818466187
none,"As regards the Inquest proceedings, the Government submit that.",0.0,38#17,0,3,0,63,9,0.31529244780540466
none,Convention only requires the exhaustion of such remedies which relate.,0.0,38#3,2,5,58,128,10,0.3994624614715576
none,"Coroner exercised his discretion to allow certain questions, despite.",0.0,38#18,6,8,415,484,9,0.33104950189590454
none,"February 1980, Series A no.",0.0,38#20,4,9,47,74,5,0.264024943113327
none,"Further, the Commission finds that the applicants' choice of.",0.0,38#7,0,3,0,61,9,0.3296867609024048
none,"Further, they were unable to take.",0.0,38#2,0,3,0,34,6,0.2996426224708557
none,"H.R., Deweer judgment of 27.",0.0,38#20,3,9,17,45,6,0.3022134304046631
none,"Having regard, in addition, to the difficulties imposed by the.",0.0,38#25,0,4,0,63,10,0.3408416211605072
none,"In the present case, the Commission notes that the applicants,
as conceded by the Government, would not have been eligible for legal.",0.0,38#22,0,2,0,134,22,0.4426729679107666
none,In this context the.,0.0,38#24,0,4,0,20,4,0.34503674507141113
none,It is furthermore established that the burden of proving the.,0.0,38#21,0,3,0,61,10,0.3374500870704651
none,Kingdom and Northern Ireland.,0.0,38#8,4,5,238,267,4,0.4352337419986725
none,Northern Ireland and effectively put an end to the proceedings.,0.0,38#9,3,4,190,253,10,0.4184706509113312
none,State invoking the rule,0.0,38#21,2,3,135,158,4,0.3003721833229065
none,The Commission considers that the applicants' complaints under.,0.0,38#19,0,4,0,63,8,0.3125482499599457
none,"The Commission has held that where, for example,
there is a choice of remedies open to an applicant, Article 26.",0.0,38#5,0,10,0,113,20,0.44089651107788086
none,The Commission recalls that Article 26 (Art.,0.0,38#3,0,5,0,44,7,0.24827151000499725
none,The applicants further submit that Article 2 (Art.,0.0,38#12,0,5,0,50,8,0.2832934260368347
none,The applicants in those.,0.0,38#8,0,5,0,24,4,0.36024272441864014
none,The certificates issued by the Secretary.,0.0,38#9,0,4,0,41,6,0.3352920413017273
