kp,sentence_text,match_score,comment_id,sentence_id,sents_in_comment,span_start,span_end,num_tokens,argument_quality
none,"(see the Akdivar and Others judgment cited at paragraph 38 above, p. 1210, para.",0.0,08#82,0,2,0,80,14,0.3739148676395416
none,"(see the Akdivar and Others judgment cited at paragraph 38 above, p. 1219, para.",0.0,08#61,0,2,0,80,14,0.37286698818206787
none,"(see the above-mentioned Akdivar and Others judgment, p. 1210, paras.",0.0,08#68,0,2,0,69,11,0.34792575240135193
none,"(see the above-mentioned Brogan and Others judgment, p. 32, para.",0.0,08#48,0,2,0,65,11,0.3672080338001251
none,"(see, mutatis mutandis, the Lawless v. Ireland judgment of 1 July 1961, Series A no.",0.0,08#40,0,5,0,84,15,0.4093473553657532
none,"(see, mutatis mutandis, the Lawless v. Ireland judgment of 1 July 1961, Series A no.",0.0,08#45,0,5,0,84,15,0.4093473553657532
none,"10148/82, Decisions and Reports 42, p. 98).",0.0,08#65,1,3,210,253,8,0.5301931500434875
none,"13) must be ""effective"" in practice as well as in law, in particular in the sense that its exercise must not be unjustifiably hindered by the acts or omissions of the authorities of the respondent State.",0.0,08#56,1,2,54,257,36,0.48175323009490967
none,13) to provide an effective remedy in respect of violations of the Convention.,0.0,08#55,1,5,172,250,13,0.5260066986083984
none,"145 B, p. 33, para.",0.0,08#41,1,5,130,149,5,0.29163119196891785
none,"205, and the above-mentioned Brannigan and McBride judgment, p. 50, para.",0.0,08#40,3,5,178,251,12,0.34817442297935486
none,"205, and the above-mentioned Brannigan and McBride judgment, p. 50, para.",0.0,08#45,3,5,178,251,12,0.34817442297935486
none,"25-1), and no new evidence in this connection was presented to the Court.",0.0,08#63,2,3,308,381,14,0.4568336606025696
none,"26) makes reference, there may be special circumstances which absolve the applicant from the obligation to exhaust the domestic remedies at his disposal.",0.0,08#81,1,2,106,259,23,0.4985748529434204
none,26) obliges those seeking to bring their case against the State before an international judicial or arbitral organ to use first the remedies provided by the national legal system.,0.0,08#27,1,2,117,296,29,0.45416420698165894
none,"28, the above-mentioned Ireland v. the United Kingdom judgment, p. 78, para.",0.0,08#40,2,5,101,177,13,0.32138586044311523
none,"28, the above-mentioned Ireland v. the United Kingdom judgment, p. 78, para.",0.0,08#45,2,5,101,177,13,0.32138586044311523
none,285 on the state of emergency region transferred the power to carry out investigations into criminal acts allegedly committed by civil servants from the public prosecutors to the administrative councils (see paragraph 26 above).,0.0,08#6,1,2,23,251,34,0.3778880834579468
none,3) between this notion and that of inhuman or degrading treatment.,0.0,08#75,1,2,170,236,11,0.4303476810455322
none,"3), as the Court has observed on many occasions, enshrines one of the fundamental values of democratic society.",0.0,08#79,1,2,16,127,18,0.45789045095443726
none,"3, p. 56, para.",0.0,08#40,1,5,85,100,4,0.319553405046463
none,"3, p. 56, para.",0.0,08#45,1,5,85,100,4,0.319553405046463
none,"5) in the Convention system: it enshrines a fundamental human right, namely the protection of the individual against arbitrary interference by the State with his or her right to liberty.",0.0,08#46,1,2,57,243,30,0.5239225029945374
none,"5-1-c) shall be brought promptly before a judge or other officer authorised by law to exercise judicial power """,0.0,08#39,5,6,528,639,20,0.408221036195755
none,"5-3), which is intended to minimise the risk of arbitrariness and to ensure the rule of law",0.0,08#47,2,3,167,258,18,0.5954540967941284
none,"6-1) applies to a civil claim for compensation in respect of ill treatment allegedly committed by agents of the State (see, for example, the Tomasi judgment cited at paragraph 61 above, p. 43, paras.",0.0,08#59,2,4,51,250,35,0.4337866008281708
none,"Accordingly, it has recognised that Article 26 (art.",0.0,08#24,0,2,0,52,8,0.3048328459262848
none,And the applicant did nothing of the sort.,0.0,08#65,2,3,254,296,8,0.3426024317741394
none,Article 13 of the Convention (art.,0.0,08#55,3,5,255,289,6,0.25686192512512207
none,"Articles 243 and 245 of the Criminal Code, which were in force throughout Turkey, penalised the use of torture and ill-treatment for the extraction of confessions (see paragraph 24 above).",0.0,08#5,0,1,0,188,31,0.43454495072364807
none,"Consequently, States are dispensed from answering before an international body for their acts before they have had an opportunity to put matters right through their own legal systems.",0.0,08#23,0,1,0,183,28,0.5715456604957581
none,During this time he had sustained severe injuries requiring hospital treatment (see paragraph 23 above).,0.0,08#31,0,1,0,104,15,0.6377469301223755
none,"Even in the most difficult of circumstances, such as the fight against organised terrorism and crime, the Convention prohibits in absolute terms torture or inhuman or degrading treatment or punishment.",0.0,08#74,0,1,0,201,30,0.6188223958015442
