kp,sentence_text,match_score,comment_id,sentence_id,sents_in_comment,span_start,span_end,num_tokens,argument_quality
none,"10530/83, Dec. 16.5.85, D.R.",0.0,02#12,2,4,13,41,8,0.34370893239974976
none,"14116/88 and 14117/88, Sargin and Yagci v.
Turkey, Dec. 11.05.89, D.R.",0.0,02#1,5,7,126,197,16,0.2969130873680115
none,26) of the Convention.,0.0,02#6,2,5,114,136,4,0.36742886900901794
none,"26, 27-3) of the Convention.",0.0,02#3,4,5,149,177,6,0.3532169461250305
none,"61 p. 250, 262).",0.0,02#1,6,7,198,214,4,0.4447173476219177
none,"77, p.
18, para.",0.0,02#1,3,7,95,112,4,0.3137589395046234
none,Administrative Board occurred on 13 November 1993.,0.0,02#7,4,5,277,327,7,0.41394907236099243
none,Convention only requires the exhaustion of such remedies which relate.,0.0,02#4,2,5,58,128,10,0.3994624614715576
none,"Court H.R., De Jong,
Baljet and Van den Brink judgment of 22 May 1984, Series A no.",0.0,02#1,2,7,10,94,18,0.31411057710647583
none,Given that these circumstances do not disclose any indication.,0.0,02#14,0,6,0,62,9,0.3888450264930725
none,"However,
special considerations could apply in exceptional cases where an.",0.0,02#9,0,4,0,75,10,0.44901832938194275
none,"In such a situation, the six months.",0.0,02#15,0,3,0,36,7,0.29779982566833496
none,The Commission recalls that Article 26 (Art.,0.0,02#4,0,5,0,44,7,0.24827151000499725
none,additional information which might lead the Commission to depart from.,0.0,02#2,1,3,60,130,10,0.3417988121509552
none,applicant first avails himself of a domestic remedy and only at a later.,0.0,02#9,1,4,77,149,13,0.3060363829135895
none,be a date earlier than February 1994.,0.0,02#14,5,6,351,388,7,0.34480521082878113
none,"circumstances, the question arises whether the complaints insofar as.",0.0,02#16,1,5,11,80,9,0.3298707902431488
none,decision taken in respect of the complaints.,0.0,02#6,4,5,210,254,7,0.3811517655849457
none,delays involved that this inquiry can be considered as furnishing an.,0.0,02#5,1,5,49,118,11,0.41170501708984375
none,delays involved that this inquiry can be considered as furnishing an.,0.0,02#13,4,8,161,230,11,0.41170501708984375
