id,name,argument
1,31.txt,"They submit that the applicant
failed to complain about the length in the course of the domestic court
proceedings and did not lodge a request under S. 91 of the Court
Organisation Act 1990 (Gerichtsverfassungsgesetz) that, in view of the
alleged delay, the superior court should fix an appropriate time-limit
for the conduct of the court proceedings."
2,31.txt,"According to Article 26 (Art. 26), the ""Commission may only deal
with the matter after all domestic remedies have been exhausted,
according to the generally recognised rules of international law"".
"
3,31.txt," The Commission notes that S. 91 of the Austrian Court
Organisation Act, which entitles the parties to court proceedings to
lodge a request with the superior court to fix a time limit in respect
of a delayed procedural step, entered into force on 1 January 1990 when
the proceedings in question were already pending for one year."
4,31.txt,"At that
stage, the District Court had already been dealing with the applicant's
request of December 1988 and, in its decision of 10 August 1989,
postponed the examination thereof, and the Regional Court had decided
on the applicant's appeal on 29 November 1989."
5,31.txt,"The Commission finds that it is thus not faced with the issue of
an alleged absence of any reaction of the competent court to a
procedural request (cf. No. 19369/92, Dec. 8.1.93, not published)."
6,31.txt,"In
the circumstances of the present case, a request under S. 91 of the
Court Organisation Act cannot be considered as an effective remedy to
ensure, regarding the proceedings as a whole, a determination of the
applicant's civil rights and obligations within a ""reasonable time""
within the meaning of Article 6 para. 1 (Art. 6-1) of the Convention."
7,31.txt,"As regards the merits of the complaint, the Government, referring
to the case-law of the Convention organs, argue that the length of the
proceedings was mainly due to the complexity of the case."
8,31.txt,"In this
respect, they refer to the numerous other matters related to the
proceedings at issue, and the proceedings before the Vienna Juvenile
Court."
9,31.txt,"that she filed numerous
submissions"
10,31.txt,"thereby caused difficulties to survey the file and to
decide upon all of her requests in due time."
11,31.txt,"The Commission considers, in the light of the criteria
established by the case-law of the Convention institutions on the
question of ""reasonable time"""
12,31.txt,"the complexity of the case,"
13,31.txt,"the
applicant's conduct and that of the competent authorities), and having
regard to all the information in its possession"
14,31.txt,"that a thorough
examination of this complaint is required, both as to the law and as
to the facts."
