kp,sentence_text,match_score,comment_id,sentence_id,sents_in_comment,span_start,span_end,num_tokens,argument_quality
none,10) of the Convention.,0.0,00#35,1,2,143,165,4,0.37284815311431885
none,"12, p. 40, para.",0.0,00#6,3,5,276,292,4,0.3180710971355438
none,"12164/86, Dec. 12.10.88, Agneessens v. Belgium, D.R.",0.0,00#19,1,3,85,137,11,0.32581427693367004
none,"12164/86, Dec. 12.10.88, Agneessens v. Belgium, D.R.",0.0,00#23,1,3,85,137,11,0.32581427693367004
none,"236, p. 19, para.",0.0,00#49,2,4,302,319,4,0.29824209213256836
none,26) of the Convention,0.0,00#47,1,2,60,81,4,0.3206772208213806
none,"26) of the Convention ""should be applied with some degree of flexibility and without excessive formalism",0.0,00#32,1,2,46,150,16,0.6083675026893616
none,"26) of the Convention, ""the Commission may only deal with the matter after all domestic remedies have been exhausted, according to the generally recognised rules of international law"".",0.0,00#13,1,2,36,220,28,0.44258052110671997
none,"26) of the Convention, ""the Commission may only deal with the matter after all domestic remedies have been exhausted, according to the generally recognised rules of international law"".",0.0,00#16,1,2,36,220,28,0.44258052110671997
none,"26) of the Convention, ""the Commission may only deal with the matter after all domestic remedies have been exhausted, according to the generally recognised rules of international law"".",0.0,00#20,1,2,36,220,28,0.44258052110671997
none,26) of the Convention.,0.0,00#39,1,2,99,121,4,0.36742886900901794
none,"26), namely the opportunity of putting right the violations alleged against them"" (Eur.",0.0,00#50,1,5,153,240,13,0.3837459087371826
none,"27-2) of the Convention, and no other ground for declaring this part of the case inadmissible has been established.",0.0,00#40,2,3,119,234,20,0.49028652906417847
none,"39, p. 27, para.",0.0,00#50,3,5,304,320,4,0.3082946240901947
none,5-1-a) of the Convention.,0.0,00#3,2,3,158,183,6,0.3349640667438507
none,"5-3, 5-4):",0.0,00#4,1,2,118,128,4,0.33538296818733215
none,6-1) of the Convention of,0.0,00#8,2,3,59,84,6,0.3084186613559723
none,Article 3 of Protocol No.,0.0,00#36,0,2,0,25,5,0.3235507905483246
none,"Court H.R., Castells judgment of 23 April 1992, Series A no.",0.0,00#49,1,4,241,301,12,0.3521600365638733
none,"Court H.R., De Wilde, Ooms and Versyp judgment of 18 June 1971, Series A no.",0.0,00#6,2,5,199,275,16,0.2943752408027649
none,"Court H.R., Guzzardi judgment of 6 November 1980, Series A no.",0.0,00#50,2,5,241,303,12,0.34959959983825684
none,"For this condition to be fulfilled, it is not sufficient for the applicant merely to have presented his case to the various courts competent to deal with it.",0.0,00#14,0,1,0,157,28,0.48459088802337646
none,"For this condition to be fulfilled, it is not sufficient for the applicant merely to have presented his case to the various courts competent to deal with it.",0.0,00#21,0,1,0,157,28,0.48459088802337646
none,He alleges that witnesses on his behalf were not duly heard by the courts.,0.0,00#12,0,1,0,74,14,0.4944804012775421
none,He also maintains that his conviction and the penal sanctions inflicted upon him were not necessary in a democratic society.,0.0,00#44,0,1,0,124,20,0.5890701413154602
none,"He was released after the Court of Appeal reviewed this sentence, reducing it to 15 months' imprisonment, convertible to a fine.",0.0,00#1,0,1,0,128,21,0.5485153794288635
none,"However, again, the Commission finds no evidence in the case to substantiate this complaint.",0.0,00#7,0,1,0,92,14,0.5161118507385254
none,"However, the application was lodged with the Commission on 11 July 1991, five months after the cassation decision,",0.0,00#31,0,1,0,114,18,0.3919575810432434
none,"In addition, the examination of the case has disclosed no circumstance which, according to the generally recognised principles of international law, might have absolved the applicant from raising these complaints during the cassation proceedings.",0.0,00#18,0,1,0,246,34,0.5796329975128174
none,"In addition, the examination of the case has disclosed no circumstance which, according to the generally recognised principles of international law, might have absolved the applicant from raising these complaints during the cassation proceedings.",0.0,00#25,0,1,0,246,34,0.5796329975128174
none,"In reply the applicant maintains that the breach of which he is complaining consists of a continuing violation,",0.0,00#48,0,1,0,111,18,0.5416015982627869
none,"In the present case, the Commission notes that none of these complaints has been raised either formally or even in substance during the proceedings before the Court of Cassation.",0.0,00#17,0,1,0,178,29,0.4796408712863922
