id,name,argument
1,25.txt,Thus Austrian law refers to administrative offences (Verwaltungsstraftaten) and administrative criminal procedure (Verwaltungsstrafverfahren).
2,25.txt,"In addition, the fine imposed on the applicant was accompanied by an order for his committal to prison in the event of his defaulting on payment (see paragraph 15 above)."
3,25.txt,"These considerations are sufficient to establish that the offence of which the applicant was accused may be classified as ""criminal"" for the purposes of the Convention."
4,25.txt," Like the Commission, the Court notes that, although the offences in issue and the procedures followed in the case fall within the administrative sphere, they are nevertheless criminal in nature."
5,25.txt,"In the first place, it failed to satisfy the requirements of Article 64 (art. 64) of the Convention, which provides:"
6,25.txt," It therefore remains only to ascertain whether the provisions applied (art. 5, art. 64) in the present case are covered by that reservation."
7,25.txt," Any State may, when signing [the] Convention or when depositing its instrument of ratification, make a reservation in respect of any particular provision of the Convention to the extent that any law then in force in its territory is not in conformity with the provision."
8,25.txt,Reservations of a general character shall not be permitted under this Article (art. 64).  
9,25.txt,"Any reservation made under this Article (art. 64) shall contain a brief statement of the law concerned.""  "
10,25.txt,"Secondly, on a strict construction, its wording precluded extending its scope to the procedural sphere, which was in issue here.  "
11,25.txt," The Court points out that in the Chorherr v. Austria judgment of 25 August 1993 it held that Austria's reservation in respect of Article 5 (art. 5) of the Convention was compatible with Article 64 (art. 64) (Series A no. 266-B, p. 35, para. 21)."
12,25.txt,They differ in certain essential respects from those in issue in the Chorherr case.
13,25.txt,"The Court notes that Mr Pramstaller based his complaints on Article 6 (art. 6) of the Convention, whereas the wording of the reservation invoked by the Government mentions only Article 5 (art. 5) and makes express reference solely to measures for the deprivation of liberty."
14,25.txt,"Moreover, the reservation only comes into play where both substantive and procedural provisions of one or more of the four specific laws indicated in it have been applied."
15,25.txt,"Here, however, the substantive provisions of a different Act, the Tyrol Building Regulations Act 1978, were applied."
16,25.txt," This was true not only of the administrative authorities, but also of the Constitutional Court, whose review was confined to constitutional issues, and above all of the Administrative Court. "
17,25.txt,"The latter was bound by the administrative authorities' findings of fact, except where there was a procedural defect within the meaning of section 42(2), sub-paragraph 3, of the Administrative Court Act (see paragraph 22 above)."
18,25.txt,"It was therefore not empowered to take evidence itself, or to establish the facts, or to take cognisance of new matters."
19,25.txt,"Moreover, in the event of its quashing an administrative measure, it was not entitled to substitute its own decision for that of the authority concerned, but had always to remit the case to that authority."
20,25.txt," In short, its review was confined exclusively to questions of law and therefore could not be regarded as equivalent to that of a body with full jurisdiction. "
21,25.txt,"Albert and Le Compte v. Belgium of 10 February 1983, Series A no. 58, p. 16, para. 29; Öztürk, previously cited, pp. 21-22, para. 56; and Fischer v. Austria of 26 April 1995, Series A no. 312, p. 17, para. 28). "
22,25.txt,The Constitutional Court is not such a body.
