id,name,argument
1,06.txt," As regards the applicant's complaints concerning conjugal rights, the Commission finds no indication that on the facts of the present case the applicant enjoyed any ""civil right"" with respect to the enjoyment of conjugal rights in the absence of the consent of his wife."
2,06.txt,"As regards the applicant's complaints concerning the decisions of the courts in the criminal proceedings, the Commission recalls that, in accordance with Article 19 (Art. 19) of the Convention, its only task is to ensure the observance of the obligations undertaken by the
Parties in the Convention."
3,06.txt,"In particular, it is not competent to deal with an application alleging that errors of law or fact have been committed by domestic courts, except where it considers that such errors might have involved a possible violation of any of the rights and freedoms set out in the Convention."
4,06.txt,"The Commission refers, on this point, to its constant case-law (see eg. No. 458/59, X v. Belgium, Dec.
29.3.60, Yearbook 3 pp.222, 236; No. 5258/71, X v. Sweden, Dec. 8.2.73,
Collection 43 pp.71, 77; No. 7987/77, X v. Austria, Dec. 13.12.79, D.R.
18 pp. 31, 45)."
5,06.txt,He relies on Article 6 para. 1 (Art. 6-1) of the Convention.
6,06.txt,"He claims that he was at no time afforded a proper determination of his civil rights and obligations with particular reference to the conjugal rights of both parties to a marriage and, moreover, that he was denied a fair trial of the charge against him by reason of the failure of the courts to observe, and give proper effect to, the statutory definition of rape (as `unlawful sexual intercourse') in section 1 (1) of the Sexual
Offences (Amendment) Act 1976."""
7,06.txt,The general rule that a husband could not commit the offence of rape against his wife was universally accepted until 1990.
8,06.txt,"While exceptions to this principle had developed, these were strictly limited to circumstances where, for example, there had been a court order or formal separation agreement."
9,06.txt,The facts of this case do not disclose any mutual agreement between the applicant and his wife.
10,06.txt,"There was no authority for the proposition that a wife could unilaterally withdraw her consent."
11,06.txt,"Furthermore, in the applicant's case, the Court of Appeal and the House of Lords acknowledged that they were changing the law, not merely clarifying it."
12,06.txt,"There was case-law indicating that a husband could be guilty of raping his wife where a court had issued a decree nisi of divorce or a non-molestation order; where the husband had given an undertaking in lieu of an injunction not to molest his wife; where there was an agreement express or implied between the parties which made it clear that the implied consent of the wife was revoked; and where there had been a withdrawal of either party from cohabitation accompanied by a clear indication that consent to sexual intercourse had been terminated.
"
13,06.txt," was revoked; and where there had been a withdrawal of either party from cohabitation accompanied by a clear indication that consent to sexual intercourse had been terminated.

      The Government contend that in the present case the facts indicated that the applicant's wife had revoked her consent by mutual agreement with the applicant."
14,06.txt,"Even if the decisions of the courts were based rather on the fact that a wife was able unilaterally to withdraw her consent, this was a reasonable interpretation of the existing law in the light of changing social circumstances and clarified the existing elements of the offence."
15,06.txt," As regards the applicant's complaints concerning conjugal rights, the Commission finds no indication that on the facts of the present case the applicant enjoyed any ""civil right"" with respect to the enjoyment of conjugal rights in the absence of the consent of his wife."
16,06.txt," It follows that this part of the case is manifestly ill-founded within the meaning of Article 27 para. 2 (Art. 27-2) of the Convention.
"
17,06.txt,It follows that this part of the application cannot be dismissed as manifestly ill-founded within the meaning of Article 27 para. 2 (Art. 27-2) of the Convention.
