kp,sentence_text,match_score,comment_id,sentence_id,sents_in_comment,span_start,span_end,num_tokens,argument_quality
none,"""Everyone who is arrested shall be informed promptly, in a language which he understands, of the reasons for his arrest and of any charge against him.""",0.0,22#47,0,1,0,151,26,0.49202486872673035
none,"""the reasons for her arrest were sufficiently brought to her attention during her interview"".",0.0,22#128,2,3,364,457,14,0.4406164288520813
none,(c) circumstances preventing disclosure of information.,0.0,22#139,1,2,106,161,6,0.4886177182197571
none,"(see also the Klass and Others v. Germany judgment of 6 September 1978, Series A no.",0.0,22#18,0,3,0,84,16,0.4583485424518585
none,"(see the Brannigan and McBride v. the United Kingdom judgment of 26 May 1993, Series A no.",0.0,22#95,0,3,0,90,17,0.3482145667076111
none,"(see the James and Others judgment, loc.",0.0,22#107,0,3,0,40,7,0.35901638865470886
none,"(see the above-mentioned Klass and Others judgment, p. 23, para.",0.0,22#85,0,2,0,64,11,0.3534604012966156
none,"(see, among other authorities, the X v. the United Kingdom judgment of 5 November 1981, Series A no.",0.0,22#37,0,9,0,100,18,0.33343425393104553
none,"(see, inter alia, the Fox, Campbell and Hartley v. the United Kingdom judgment of 30 August 1990, Series A no.",0.0,22#2,0,5,0,110,20,0.36467111110687256
none,"(see, mutatis mutandis, the above-mentioned Klass and Others judgment, p. 28, para.",0.0,22#84,0,2,0,83,13,0.3313327431678772
none,"1) to secure everyone within their jurisdiction, inter alia, the right to liberty and the right to respect for private life.",0.0,22#117,2,3,380,504,21,0.5616946816444397
none,"122, and the authorities cited there).",0.0,22#102,2,3,357,395,6,0.44492432475090027
none,"145-B, p. 27, para.",0.0,22#2,3,5,227,246,5,0.31933876872062683
none,"182, p. 15, para.",0.0,22#2,1,5,111,128,4,0.3183085322380066
none,"19) of the Convention, to ensure the observance of the engagement undertaken by the States Parties under Article 1 (art.",0.0,22#117,1,3,259,379,20,0.3419361114501953
none,"215, p. 39, para.",0.0,22#102,1,3,339,356,4,0.3071838915348053
