kp,sentence_text,match_score,comment_id,sentence_id,sents_in_comment,span_start,span_end,num_tokens,argument_quality
none,"(cf.,
e.g., Eur.",0.0,34#91,0,5,0,17,4,0.2975003123283386
none,"(cf., e.g., Eur.",0.0,34#72,0,4,0,16,4,0.2975003123283386
none,"(cf., e.g., Eur.",0.0,34#96,0,5,0,16,4,0.2975003123283386
none,"10148/82, Dec. 14.3.85, D.R.",0.0,34#82,3,5,124,152,8,0.3424278497695923
none,"110, p. 14, para.",0.0,34#1,4,6,88,105,4,0.31998202204704285
none,"11123/84, Dec. 9.12.87, D.R.",0.0,34#44,4,6,173,201,8,0.3459571599960327
none,"121-A, p. 32-33, para.",0.0,34#96,3,5,93,115,6,0.33332493901252747
none,"12763/87,
Dec. 14.7.88, D.R.",0.0,34#25,2,4,143,172,8,0.3358743190765381
none,"13 above,
the Commission considers that domestic remedies have not been.",0.0,34#79,1,3,53,126,11,0.3537011742591858
none,"13 above,
the Commission considers that domestic remedies have not been.",0.0,34#102,1,7,53,126,11,0.3537011742591858
none,"14451/88, Dec.
2.7.93, not published).",0.0,34#80,4,5,196,235,8,0.5474924445152283
none,"198,
p. 12, para.",0.0,34#53,2,4,77,95,4,0.2982114255428314
none,"1990 Act and was, accordingly, made in accordance with the law.",0.0,34#29,1,2,67,130,11,0.4185827970504761
none,"1991, whereas the present application was lodged on 16 November 1992,
i.e.",0.0,34#45,2,4,139,214,13,0.36579129099845886
none,"20 March 1991, Series A no.",0.0,34#104,2,6,60,87,6,0.255391001701355
none,"200, p. 18, para.",0.0,34#3,3,5,73,90,4,0.31014132499694824
none,"21608/93, Dec. 22.2.95,
not published).",0.0,34#71,4,5,200,240,8,0.5243744850158691
none,"23 September 1994, Series A no.",0.0,34#27,2,5,47,78,6,0.253938764333725
none,25-1) of the.,0.0,34#103,2,6,53,66,4,0.29172879457473755
none,26) of the Convention.,0.0,34#87,4,5,218,240,4,0.36742886900901794
none,27-3) of the Convention.,0.0,34#11,4,5,125,149,5,0.3639058768749237
none,27-3) of the Convention.,0.0,34#102,6,7,225,249,5,0.3639058768749237
none,"31, p. 21, para.",0.0,34#24,6,8,251,267,4,0.3113586902618408
none,6-1) to apply to the proceedings in question it must.,0.0,34#97,3,7,151,204,11,0.3694075644016266
none,6-2) of the.,0.0,34#22,2,5,54,66,4,0.2818075716495514
none,73 of the Social Services Act the third and the fourth applicant had.,0.0,34#57,2,5,85,154,13,0.3382599353790283
none,"7987/77, Dec. 13.12.79, D.R.",0.0,34#94,9,12,455,483,8,0.33168748021125793
none,8) may include at least the ties between near relatives.,0.0,34#24,2,8,82,138,10,0.3972771465778351
none,"8) of the Convention, cannot find any.",0.0,34#88,2,5,91,129,8,0.29541078209877014
none,"8-1) can reasonably be regarded as ""necessary in a democratic.",0.0,34#76,4,9,143,205,11,0.42380091547966003
none,8-2) of that provision in the interests.,0.0,34#31,7,9,231,271,8,0.3036838173866272
none,8-2) of that provision in the interests.,0.0,34#42,7,9,231,271,8,0.3036838173866272
none,8-2)) the Commission first recalls that the.,0.0,34#68,2,6,87,131,8,0.2725919485092163
none,8-2)of that provision in.,0.0,34#76,7,9,252,277,5,0.2896284759044647
none,"Accordingly, the Commission will have regard to them when examining the.",0.0,34#9,0,4,0,72,11,0.32034820318222046
none,Administrative Court of Appeal examined the first applicant's criticism.,0.0,34#61,2,5,75,147,9,0.44352641701698303
none,Administrative Court ordered the second applicant's placement in public.,0.0,34#18,3,5,150,222,9,0.39170360565185547
none,Administrative Court the other applicants gave reason to believe that.,0.0,34#38,1,4,29,99,10,0.37967193126678467
none,As for the question.,0.0,34#73,0,7,0,20,4,0.3656904995441437
none,Commission is further aware that this provision has been considered by.,0.0,34#71,1,5,6,77,11,0.31503716111183167
none,Convention imposes an obligation on the Contracting States not to.,0.0,34#103,3,6,68,134,10,0.45488134026527405
none,Convention it may only deal with a complaint within a period of six.,0.0,34#17,2,4,64,132,13,0.39676740765571594
none,Convention it may only deal with the matter within a period of six.,0.0,34#43,2,4,64,131,13,0.3328517973423004
none,"Court H.R.,
Kruslin judgment of 24 April 1990, Series A no.",0.0,34#72,1,4,17,77,12,0.35347995162010193
none,"Court H.R., Cardot.",0.0,34#3,1,5,12,31,4,0.3227938115596771
none,"Court H.R., Hokkanen judgment of.",0.0,34#27,1,5,12,45,6,0.30344340205192566
none,"Court H.R., Klaas judgment of 22 September 1993,
Series A no.",0.0,34#2,1,5,6,68,12,0.37203752994537354
none,"Court H.R., Marckx.",0.0,34#24,4,8,191,210,4,0.31703490018844604
none,"Court H.R., Olsson judgment of 24 March 1988, Series A no.",0.0,34#32,2,6,11,69,12,0.36754199862480164
none,"Court H.R., Stanford judgment of 23 February 1994, Series.",0.0,34#91,1,5,18,76,10,0.3940854072570801
none,"Court H.R., Unterpertinger.",0.0,34#1,2,6,16,43,4,0.35873329639434814
none,"Court H.R., Vernillo judgment of 20 February 1991, Series A no.",0.0,34#53,1,4,13,76,12,0.34824806451797485
none,"Court H.R., W v. the United Kingdom.",0.0,34#96,1,5,17,53,8,0.3640049397945404
none,"However,
the existence of ""family life"" will depend on a number of factors and.",0.0,34#25,0,4,0,80,14,0.5721525549888611
none,In so far as the complaint has been lodged by the third and the.,0.0,34#97,0,7,0,64,14,0.29608353972435
none,In the above circumstances the Commission finds that it has not.,0.0,34#83,0,2,0,64,11,0.37164807319641113
none,In the light of the above and having regard to the State's margin.,0.0,34#41,0,5,0,66,13,0.35970357060432434
none,In the light of the.,0.0,34#55,0,4,0,20,5,0.3040684163570404
none,In the present case that the Commission finds that the first.,0.0,34#5,0,3,0,61,11,0.28498122096061707
none,In these circumstances the first applicant had access to a court and.,0.0,34#62,0,4,0,69,12,0.3932349681854248
none,In this respect the Convention must be interpreted as guaranteeing.,0.0,34#101,0,3,0,67,10,0.4930914342403412
none,It cannot confine itself to considering.,0.0,34#35,0,3,0,40,7,0.3772132098674774
none,It flows from the very essence.,0.0,34#100,0,3,0,31,6,0.4061838984489441
none,It follows that these.,0.0,34#11,0,5,0,22,4,0.3369382321834564
none,It further considered that implementation of.,0.0,34#40,0,5,0,45,6,0.3723463714122772
none,It has therefore not been shown that domestic remedies have.,0.0,34#89,0,2,0,60,10,0.5879899859428406
none,It reiterates that the.,0.0,34#54,0,5,0,23,4,0.3083561062812805
none,Leave to appeal was.,0.0,34#51,0,2,0,20,4,0.3147355020046234
none,Limiting its examination of the fairness of the proceedings to.,0.0,34#8,0,4,0,63,10,0.34304380416870117
none,"Moreover, the Commission finds no.",0.0,34#7,0,3,0,34,5,0.28509071469306946
none,"Moreover, up to his.",0.0,34#28,0,4,0,20,4,0.32973673939704895
none,No such action has been brought.,0.0,34#81,0,1,0,32,6,0.46511584520339966
none,Recalling its considerations in para.,0.0,34#75,0,8,0,37,5,0.311838835477829
none,Recalling its reasoning with regard to complaint no.,0.0,34#79,0,3,0,52,8,0.31054696440696716
none,Recalling its reasoning with regard to complaint no.,0.0,34#102,0,7,0,52,8,0.31054696440696716
none,Regard must also be.,0.0,34#33,0,2,0,20,4,0.3316103518009186
none,Social Council could reasonably find it necessary to order and maintain.,0.0,34#75,6,8,332,404,11,0.575166642665863
none,Social Council may decide how the public care is to be implemented.,0.0,34#70,1,2,65,132,12,0.40575116872787476
none,Special arrangements have apparently been made.,0.0,34#74,0,2,0,47,6,0.42473646998405457
none,Swedish law the third and the fourth applicant have no right of access.,0.0,34#98,1,3,8,79,13,0.4142811894416809
none,The Commission cannot find that the second applicant's placement.,0.0,34#47,0,4,0,65,10,0.348176509141922
none,The Commission considers that the access restrictions now at.,0.0,34#67,0,3,0,61,9,0.3160131573677063
none,The Commission observes that the refusal at issue dates back to.,0.0,34#21,0,2,0,64,11,0.34174734354019165
none,The Commission observes that the second applicant was transferred.,0.0,34#45,0,4,0,66,9,0.3522850275039673
none,"The Commission recalls that ""family life"" within the meaning of.",0.0,34#24,0,8,0,64,10,0.28908878564834595
none,The Commission recalls that the placement order was based on the.,0.0,34#29,0,2,0,65,11,0.3124431073665619
none,The Commission's review is not limited to.,0.0,34#34,0,2,0,42,7,0.34181296825408936
none,The Commission's task is to.,0.0,34#92,0,2,0,28,5,0.3381877839565277
none,The applicant's request was examined by the Social Council in.,0.0,34#48,0,2,0,62,10,0.35782578587532043
none,"The application,
however, was lodged with the Commission on 16 November 1992.",0.0,34#86,0,1,0,78,12,0.39010223746299744
none,The first and the second applicant complain that the first.,0.0,34#16,0,3,0,59,10,0.28325363993644714
none,"The present application, however, was lodged on 16 November 1992,
that is more than six months later.",0.0,34#19,0,1,0,102,17,0.42264047265052795
none,The second applicant is the child of the first applicant in his.,0.0,34#26,0,3,0,64,12,0.3965851366519928
none,"They did not, however, avail themselves of this.",0.0,34#58,0,2,0,48,8,0.39525771141052246
none,"a ""family"" ipso jure",0.0,34#26,2,3,139,159,4,0.40941423177719116
none,above criteria and having regard to the particular circumstances of the.,0.0,34#55,1,4,22,94,11,0.32611504197120667
none,above-cited Article 8 (Art.,0.0,34#88,1,5,63,90,5,0.3159908950328827
none,applicant has been allowed to spend one weekend a month in the home of.,0.0,34#73,3,7,163,234,14,0.39482367038726807
none,applicant has been based on relevant and sufficient reasons and that.,0.0,34#41,2,5,142,211,11,0.4289291501045227
none,"applicant has not shown that complaints 1(a) to (g), (i) to (n) and (p).",0.0,34#5,1,3,63,135,14,0.3545433282852173
none,applicant started attending elementary school.,0.0,34#85,3,4,204,250,5,0.3682778477668762
none,applicant was denied a fair trial in this respect.,0.0,34#13,1,2,55,105,9,0.453299880027771
none,applicant was kept in public care.,0.0,34#14,1,2,35,69,6,0.38525041937828064
none,applicant was prohibited from taking the second applicant home on his.,0.0,34#16,1,3,61,131,11,0.37171778082847595
none,applicants' objections to the therapy provided as well as the third and.,0.0,34#40,3,5,189,261,12,0.3815332353115082
