kp,sentence_text,match_score,comment_id,sentence_id,sents_in_comment,span_start,span_end,num_tokens,argument_quality
none,1 (P1-1) has been disclosed in the present case.,0.0,29#50,1,2,105,153,10,0.45923277735710144
none,1 (P1-1) to the Convention are manifestly ill-founded within the meaning of Article 27 para.,0.0,29#55,3,6,182,274,17,0.4169429838657379
none,"1 (criminal) and 2, Article 8 (Art.",0.0,29#55,1,6,82,117,7,0.29637888073921204
none,1 and 2 (Art.,0.0,29#23,1,3,102,115,4,0.289163738489151
none,13) of the Convention a right to a remedy for these Convention claims.,0.0,29#52,1,2,64,134,13,0.3590674102306366
none,13) of the Convention does not require a remedy under domestic law in respect of every alleged violation of the Convention.,0.0,29#53,1,2,84,207,21,0.44571444392204285
none,"13) of the Convention is partially manifestly ill-founded, within the meaning of Article 27 para.",0.0,29#57,1,4,80,177,16,0.41602322459220886
none,"16.2.5.

and 16.6.2, pp.",0.0,29#33,2,4,165,191,8,0.3529335558414459
none,27-2) of the Convention.,0.0,29#55,5,6,283,307,5,0.37049826979637146
none,27-2) of the Convention.,0.0,29#57,3,4,186,210,5,0.37049826979637146
none,"46, and the Adolf judgment of 26 March 1982, p. 15, para.",0.0,29#18,2,4,82,139,12,0.33510369062423706
none,"49; Deweer judgment of 27 February 1980, Series A No.",0.0,29#64,4,8,75,128,10,0.3523150682449341
none,6-1) of the.,0.0,29#4,7,9,367,379,4,0.2804301679134369
none,"6-1, 6-2) of the Convention in respect of the earlier risk of criminal prosecution were not infringed.",0.0,29#23,2,3,116,218,19,0.4162246584892273
none,"6-1, 6-2,

8) of the Convention and Article 1 of Protocol No.",0.0,29#55,2,6,118,181,14,0.2959691882133484
none,6-2) of the Convention requires public officials to refrain from declaring or pronouncing that an individual.,0.0,29#63,2,6,33,142,17,0.44955897331237793
none,"6-2) provides that anyone ""charged with a criminal offence shall be presumed innocent until proved guilty according to law"".",0.0,29#11,2,3,24,148,20,0.45856916904449463
none,"7986/77, Krause v. Switzerland, Dec. 3.10.78, D.R.",0.0,29#64,6,8,141,191,11,0.35074126720428467
none,8-1) of the Convention.,0.0,29#71,2,3,226,249,5,0.363357275724411
none,8-2) of the Convention.,0.0,29#41,3,4,267,290,5,0.3707908093929291
none,8-2) of the Convention.,0.0,29#42,2,3,199,222,5,0.3707908093929291
none,9 and 13 above),0.0,29#34,1,2,172,187,4,0.35641369223594666
