kp,sentence_text,match_score,comment_id,sentence_id,sents_in_comment,span_start,span_end,num_tokens,argument_quality
none,"(see the Handyside v. the United Kingdom judgment of 7 December 1976, Series A no.",0.0,11#42,0,4,0,82,15,0.392086923122406
none,"(see the Oberschlick v. Austria judgment of 23 May 1991, Series A no.",0.0,11#59,0,3,0,69,13,0.5279844999313354
none,"), I examined the genesis of this doctrine.",0.0,11#85,6,11,394,437,7,0.32551342248916626
none,"172, p.16, para.",0.0,11#96,4,6,220,236,4,0.31079867482185364
none,"172, p.16, para.",0.0,11#104,4,6,220,236,4,0.31079867482185364
none,"18, p. 13, para.",0.0,11#95,1,5,103,119,4,0.3028140962123871
none,"204, p. 26, para.",0.0,11#59,1,3,70,87,4,0.30488869547843933
none,"212-A, p. 14, para.",0.0,11#95,3,5,189,208,5,0.3229828178882599
none,"27) and Helmers v. Sweden (judgment of 29 October 1991, Series A no.",0.0,11#95,2,5,120,188,13,0.3759378492832184
none,"6) ""extends only to 'contestations' (disputes) over (civil) 'rights and obligations' which can be said, at least on arguable grounds, to be recognised under domestic law"" (paragraph 65).",0.0,11#85,1,11,82,268,28,0.44044700264930725
none,6-1) a substantive civil right which has no legal basis in the State concerned.,0.0,11#100,2,3,111,190,15,0.41336166858673096
none,6-1) by reason of the fact that publication of its findings is liable to damage the reputation of the individuals whose conduct is being investigated.,0.0,11#29,2,3,259,409,26,0.47138598561286926
none,"6-1) does not in itself guarantee any particular content for (civil) 'rights and obligations' in the substantive law of the Contracting States""",0.0,11#97,2,3,26,169,23,0.37533992528915405
none,6-1) grants the individual whose reputation is at stake the right to challenge the findings against him or her in a court of law before publication of the report.,0.0,11#54,2,3,242,404,30,0.4665490388870239
none,6-1) may have a degree of applicability.,0.0,11#99,2,3,51,91,8,0.5501733422279358
none,6-1) of a limitation on the person's opportunities to go to court to enforce his or her civil right to reputation.,0.0,11#82,2,3,261,375,22,0.42176294326782227
none,6-1) secures to everyone the right to have any claim relating to his civil rights and obligations brought before a court or tribunal.,0.0,11#32,2,3,71,204,24,0.42206406593322754
none,6-1) would in practice unduly hamper the effective regulation in the public interest of complex financial and commercial activities.,0.0,11#31,2,3,50,182,20,0.7450196146965027
none,"6-1), either as regards the state of the applicable law or as regards the effects of the application of that law to the brothers.",0.0,11#84,2,3,323,452,25,0.37466558814048767
none,"6-1), namely a remedy enabling them to argue before a court that the Inspectors' findings of fact were simply erroneous.",0.0,11#67,2,3,169,289,21,0.5063873529434204
none,"6-1), or that its result was directly decisive for that right.",0.0,11#28,2,3,164,226,12,0.4071469306945801
none,8) of the Convention - as it has jurisdiction to do,0.0,11#39,1,2,232,283,10,0.3481905162334442
none,"81; and the Powell and Rayner v. the United Kingdom judgment of 21 February 1990, Series A no.",0.0,11#96,3,6,125,219,18,0.3576428294181824
none,"81; and the Powell and Rayner v. the United Kingdom judgment of 21 February 1990, Series A no.",0.0,11#104,3,6,125,219,18,0.3576428294181824
none,"As to enforcement of the right to a good reputation under domestic law, the limits of acceptable criticism are wider with regard to businessmen",0.0,11#57,0,1,0,143,24,0.5347151160240173
none,Certainly the Convention enforcement bodies may not create by way of interpretation of Article 6 para.,0.0,11#100,0,3,0,102,16,0.33264532685279846
none,"Considerations of public interest dictate both the appointment of Inspectors and the publication or not of their report (see paragraphs 36, 40 and 41 above).",0.0,11#45,0,1,0,157,25,0.5165207982063293
none,"Even though the Inspectors' role may in theory have been investigative, the manner in which they performed their functions in the present case was in fact determinative.",0.0,11#93,0,1,0,169,27,0.5329306721687317
none,"Four further purposes also existed, none of which, however, included ascertaining whether the applicants merited their good reputation.",0.0,11#12,0,2,0,135,18,0.5254189968109131
