kp,sentence_text,match_score,comment_id,sentence_id,sents_in_comment,span_start,span_end,num_tokens,argument_quality
none,"""held guilty of any criminal offence"" as set out in Article 7 para.",0.0,37#54,1,5,30,97,13,0.3733951449394226
none,"111, p. 25, para.",0.0,37#25,7,9,466,483,4,0.30750909447669983
none,"13 July 1992, decided in camera without the applicant or other persons.",0.0,37#51,3,5,126,197,12,0.34011316299438477
none,25) of the Convention.,0.0,37#8,3,5,183,205,4,0.37552085518836975
none,"26) of the Convention ""the Commission may.",0.0,37#12,1,6,23,65,7,0.26504436135292053
none,27-2) of the Convention.,0.0,37#19,6,7,305,329,5,0.37049826979637146
none,"33, p. 41 et seq., at p. 58).",0.0,37#64,4,5,66,95,8,0.48177510499954224
none,"5-1-c), the Convention organs' supervisory powers are.",0.0,37#25,3,9,217,271,9,0.32847854495048523
none,7-1) of the Convention.,0.0,37#54,4,5,108,131,5,0.3529263734817505
none,"8.12.92, D.R.",0.0,37#64,3,5,52,65,5,0.2930334210395813
none,"9044/80, Chartier v. Italy, Comm.",0.0,37#64,1,5,9,42,6,0.3468922972679138
none,"A week later, when his.",0.0,37#43,0,3,0,23,5,0.30930429697036743
none,"As a result, the applicant remained at the.",0.0,37#42,0,3,0,43,8,0.32970601320266724
none,At one stage he was even brought to.,0.0,37#47,0,2,0,36,8,0.36130502820014954
none,Commission's competence under Article 25 (Art.,0.0,37#8,2,5,136,182,6,0.27963581681251526
none,"Convention if no, or only insufficient, treatment was available to him.",0.0,37#37,2,3,71,142,11,0.3773774206638336
none,Convention in respect of Bulgaria.,0.0,37#20,3,4,200,234,5,0.34138333797454834
none,"Convention that the Supreme Court, when considering his appeal on.",0.0,37#51,2,5,58,124,10,0.29885372519493103
none,General dismissed on 11 November 1992 on the ground that there were no.,0.0,37#21,3,5,178,249,13,0.3160141706466675
none,"H.R., judgment of 18 December 1986, Series A no.",0.0,37#25,6,9,417,465,10,0.4562501609325409
none,He also wrote a book which was published.,0.0,37#61,0,2,0,41,8,0.41599205136299133
none,"He has not, therefore, been.",0.0,37#54,0,5,0,28,5,0.3618246614933014
none,He was sent to the Sofia Penitentiary Hospital despite the danger of.,0.0,37#30,0,2,0,69,12,0.32175153493881226
none,Higher Military Medical Institute until 30 November 1992 when he.,0.0,37#42,1,3,45,110,10,0.291324257850647
none,"However, this is not the.",0.0,37#24,0,3,0,25,5,0.31616294384002686
none,"In fact, there was no prohibition, only a limitation of the applicant's.",0.0,37#59,0,2,0,72,12,0.43487587571144104
none,"In his view,
confirmation herefor can be seen in the decision of 12 August 1992.
which banned meetings between the applicant and his lawyers, thereby.",0.0,37#22,0,4,0,152,25,0.43296724557876587
none,"In particular, a problem could arise under Article 3 (Art.",0.0,37#37,0,3,0,58,10,0.3680437207221985
none,In the medical report of 16 September 1992 it was found that the.,0.0,37#40,0,3,0,65,13,0.3338932693004608
none,"In the present case, it is true that the Supreme Court in the.",0.0,37#20,0,4,0,62,13,0.30729007720947266
none,"Indeed, after 7 September 1992 most of his.",0.0,37#46,0,2,0,43,8,0.31113678216934204
none,"Indeed, when preparing their reports,
the experts also relied on previous reports on the applicant's health.",0.0,37#65,0,2,0,109,16,0.4772152006626129
none,"Insofar as the applicant submits that he risked infection, inter.",0.0,37#48,0,5,0,65,10,0.46093276143074036
none,It considers that the.,0.0,37#4,0,3,0,22,4,0.30894935131073
