kp,sentence_text,match_score,comment_id,sentence_id,sents_in_comment,span_start,span_end,num_tokens,argument_quality
none,"14116/88 and 14117/88, Sargin and Yagci v.
Turkey, Dec. 11.05.89, D.R.",0.0,03#4,5,7,126,197,16,0.2969130873680115
none,26) of the Convention.,0.0,03#10,3,4,98,120,4,0.36742886900901794
none,"26, 27-3) of the Convention.",0.0,03#13,3,4,148,176,6,0.3532169461250305
none,27-2) of the.,0.0,03#14,7,9,392,405,4,0.29062598943710327
none,"61 p. 250, 262).",0.0,03#4,6,7,198,214,4,0.4447173476219177
none,"77, p.
18, para.",0.0,03#4,3,7,95,112,4,0.3137589395046234
none,An applicant does not need.,0.0,03#3,0,4,0,27,5,0.4280686676502228
none,Convention only requires the exhaustion of such remedies which relate.,0.0,03#2,2,5,58,128,10,0.3994624614715576
none,"Court H.R., De Jong,
Baljet and Van den Brink judgment of 22 May 1984, Series A no.",0.0,03#4,2,7,10,94,18,0.31411057710647583
none,In respect of damage alleged to have been caused by the State or.,0.0,03#8,0,5,0,65,13,0.4349600672721863
none,In this context the.,0.0,03#12,0,9,0,20,4,0.34503674507141113
none,It is furthermore established that the burden of.,0.0,03#5,0,3,0,49,8,0.3150651454925537
none,"State and having regard, inter alia, to the situation in South-East.",0.0,03#11,3,6,189,257,12,0.36409980058670044
none,The Commission concludes that this application cannot be rejected.,0.0,03#13,0,4,0,66,10,0.42802202701568604
none,"The Commission considers, in the light of the parties'.",0.0,03#14,0,9,0,55,9,0.3575800657272339
none,The Commission does not deem it necessary to determine whether.,0.0,03#6,0,6,0,63,10,0.4490260183811188
none,The Commission recalls that Article 26 (Art.,0.0,03#2,0,5,0,44,7,0.24827151000499725
none,"The Government also submit that alleged arson, destruction of.",0.0,03#9,0,3,0,62,9,0.3055979311466217
none,Turkey which is such that potential applicants have a well-founded fear.,0.0,03#11,4,6,259,331,12,0.39170801639556885
none,Turkish Constitution or Article 8 of Decree 430 of 16 December 1990.,0.0,03#8,4,5,274,342,12,0.3560802638530731
none,additional information which might lead the Commission to depart from.,0.0,03#1,1,4,60,130,10,0.3417988121509552
none,additional information which might lead the Commission to depart from.,0.0,03#7,1,4,60,130,10,0.3417988121509552
none,"and ineffective since, inter alia, the operation in question in this.",0.0,03#11,1,6,47,116,11,0.4106302857398987
none,authorities tolerating abuses of human rights of the kind alleged by.,0.0,03#6,2,6,130,199,11,0.4174598753452301
none,"authorities, civil or military.",0.0,03#9,2,3,203,234,4,0.4426828622817993
none,been established that they had at their disposal adequate remedies.,0.0,03#6,4,6,273,340,10,0.4734475016593933
none,"case was officially organised, planned and executed by agents of the.",0.0,03#11,2,6,118,187,11,0.33839333057403564
none,"concludes, therefore, that the application is not manifestly ill-
founded, within the meaning of Article 27 para.",0.0,03#14,5,9,269,383,17,0.36909955739974976
none,destruction of homes and property in villages and towns.,0.0,03#1,3,4,197,253,9,0.49873048067092896
none,destruction of homes and property in villages and towns.,0.0,03#7,3,4,197,253,9,0.49873048067092896
none,"destruction of their homes and villages, or for their expulsion; an.",0.0,03#12,4,9,230,298,11,0.34819748997688293
none,examination of the merits of the application as a whole.,0.0,03#14,3,9,195,251,10,0.42601099610328674
none,for the alleged offences connected with the destruction of villages and.,0.0,03#12,7,9,448,520,11,0.38371536135673523
none,"its agents, the Government submit that the applicants had the.",0.0,03#8,1,5,67,129,10,0.2815288305282593
none,lies upon the State invoking the rule,0.0,03#5,2,3,121,158,7,0.32047030329704285
none,of the consequences if they should pursue remedies.,0.0,03#11,5,6,333,384,8,0.4620586335659027
none,official attitude of legal unaccountability towards the security forces.,0.0,03#12,5,9,300,372,9,0.3564174771308899
none,"or administrative courts relying, inter alia, on Article 125 of the.",0.0,03#8,3,5,204,272,11,0.3635062575340271
none,possibility of introducing an action for compensation before the civil.,0.0,03#8,2,5,131,202,10,0.3462703227996826
none,"property and threatening conduct are prohibited by the Criminal Code,
in respect of which complaints could be lodged with the competent.",0.0,03#9,1,3,64,201,21,0.4803817570209503
none,prosecutors and other competent authorities; the absence of any cases.,0.0,03#12,2,9,90,160,10,0.431420236825943
none,"submissions, that the case raises complex issues of law and fact under.",0.0,03#14,1,9,57,128,12,0.41777968406677246
none,"the Convention, the determination of which should depend on an.",0.0,03#14,2,9,130,193,10,0.3052472770214081
none,the above conclusions in respect of remedies available for the.,0.0,03#1,2,4,132,195,10,0.37411701679229736
none,the above conclusions in respect of remedies available for the.,0.0,03#7,2,4,132,195,10,0.37411701679229736
none,the applicants have failed to exhaust domestic remedies as required by.,0.0,03#10,1,4,8,79,11,0.5085970759391785
none,"the applicants, because it agrees with the applicants that it has not.",0.0,03#6,3,6,201,271,12,0.3667559325695038
none,there exists an administrative practice on the part of Turkish.,0.0,03#6,1,6,65,128,10,0.34898805618286133
none,to the breaches of the Convention alleged and at the same time can.,0.0,03#2,3,5,130,197,13,0.346264123916626
none,under the state of emergency to deal effectively with their complaints.,0.0,03#6,5,6,342,413,11,0.3760025203227997
"In the present case, the Government have not provided any.","In the present case, the Government have not provided any.",1.0,03#1,0,4,0,58,10,0.39963722229003906
"In the present case, the Government have not provided any.","In the present case, the Government have not provided any.",1.0,03#7,0,4,0,58,10,0.39963722229003906
"In the present case, the Government have not provided any.",provide effective and sufficient redress.,0.9955451488494873,03#2,4,5,199,240,5,0.6879228353500366
"In the present case, the Government have not provided any.",showing the payment of adequate compensation to villagers for the.,0.994672954082489,03#12,3,9,162,228,10,0.32575273513793945
"In the present case, the Government have not provided any.",applicants also allege a lack of genuine investigations by public.,0.9698691964149475,03#12,1,9,22,88,10,0.4144914746284485
"In the present case, the Government have not provided any.",and the lack of any prosecutions against members of the security forces.,0.9063710570335388,03#12,6,9,374,446,12,0.4360751509666443
"Any purported remedy is illusory, inadequate.","Any purported remedy is illusory, inadequate.",1.0,03#11,0,6,0,45,6,0.6690188646316528
"Any purported remedy is illusory, inadequate.","constitute remedies, do not in reality offer any chance of redressing.",0.9996734857559204,03#3,2,4,97,167,11,0.46628129482269287
"Any purported remedy is illusory, inadequate.",proving the existence of available and sufficient domestic remedies.,0.9732341766357422,03#5,1,3,51,119,9,0.5879266262054443
"Any purported remedy is illusory, inadequate.",for non-exhaustion of domestic remedies under Articles 26 and 27 para.,0.9504656195640564,03#13,1,4,68,138,12,0.3792046308517456
"Any purported remedy is illusory, inadequate.","to exercise remedies which, although theoretically of a nature to.",0.9164092540740967,03#3,1,4,29,95,10,0.36546650528907776
