kp,sentence_text,match_score,comment_id,sentence_id,sents_in_comment,span_start,span_end,num_tokens,argument_quality
none,"(see, for instance, the Bozano v. France judgment of 18 December 1986, Series A no.",0.0,21#25,0,5,0,83,15,0.3979819715023041
none,"(see, for instance, the Bozano v. France judgment of 18 December 1986, Series A no.",0.0,21#40,0,5,0,83,15,0.3979819715023041
none,"(see, for instance, the Ciulla v. Italy judgment of 22 February 1989, Series A no.",0.0,21#22,0,3,0,82,15,0.3993700444698334
none,"(see, for instance, the Murray v. the United Kingdom judgment of 28 October 1994, Series A no.",0.0,21#36,0,3,0,94,17,0.3709532618522644
none,"(see, mutatis mutandis, the Foti and Others v. Italy judgment of 10 December 1982, Series A no.",0.0,21#21,0,3,0,95,17,0.4245487153530121
none,1 of the Convention (art.,0.0,21#8,1,3,149,174,5,0.28075626492500305
none,1 of the Convention (art.,0.0,21#23,1,3,16,41,5,0.28075626492500305
none,1 of the Convention (art.,0.0,21#38,1,4,73,98,5,0.28075626492500305
none,"111, p. 23, para.",0.0,21#25,1,5,84,101,4,0.3037545382976532
none,"111, p. 23, para.",0.0,21#40,1,5,84,101,4,0.3037545382976532
none,"148, p. 18, para.",0.0,21#22,1,3,83,100,4,0.2935112714767456
none,"300-A, p. 25, para.",0.0,21#36,1,3,95,114,5,0.32736116647720337
none,5-1) contains an exhaustive list of permissible grounds for deprivation of liberty which must be interpreted strictly,0.0,21#23,2,3,42,159,18,0.47738105058670044
none,"5-1), which, in so far as relevant, reads:
""Everyone has the right to liberty and security of person.",0.0,21#38,2,4,99,201,19,0.6124383807182312
none,"54; and the Benham v. the United Kingdom judgment of 10 June 1996, Reports 1996-III, pp.",0.0,21#25,2,5,102,190,17,0.38361695408821106
none,"54; and the Benham v. the United Kingdom judgment of 10 June 1996, Reports 1996-III, pp.",0.0,21#40,2,5,102,190,17,0.38361695408821106
none,"56, p. 21, para.",0.0,21#21,1,3,96,112,4,0.31333309412002563
none,"Admittedly, the Prosecutor-General had not been in a position at the time to ascertain whether there was criminal intent.",0.0,21#14,0,1,0,121,20,0.4408024549484253
none,Before the Court the Government stated that they were prepared to accept the Commission's opinion that there had been a violation of Article 5 para.,0.0,21#8,0,3,0,148,25,0.41383591294288635
none,"Furthermore, his position in society, his numerous contacts abroad and his repeated requests that the authorities return his passport, were all considerations which went to justify placing him in pre-trial detention.",0.0,21#19,0,1,0,216,32,0.5702184438705444
