kp,sentence_text,match_score,comment_id,sentence_id,sents_in_comment,span_start,span_end,num_tokens,argument_quality
none,1 and 3 (d) (art.,0.0,27#50,1,4,103,120,5,0.28654053807258606
none,1 and 3 (d) (art.,0.0,27#96,1,4,103,120,5,0.28654053807258606
none,1 taken together with Article 6 para.,0.0,27#37,1,4,458,495,7,0.33556067943573
none,3 (d) of the Convention (art.,0.0,27#37,2,4,496,525,6,0.2823273837566376
none,"34, and p. 472, para.",0.0,27#32,2,4,227,248,5,0.34211301803588867
none,"6) against the interests of witnesses protected by other substantive provisions of the Convention (see the Doorson judgment previously cited, p. 470, para.",0.0,27#68,1,3,243,398,23,0.44772687554359436
none,"6) as set out in the judgment of Kostovski v. the Netherlands (20 November 1989, Series A no.",0.0,27#34,1,3,372,465,18,0.36224067211151123
none,6) does not guarantee an unlimited right to question witnesses.,0.0,27#67,1,2,16,79,10,0.4109170138835907
none,6) when measures were taken.,0.0,27#36,1,2,173,201,5,0.40169310569763184
none,6-1+6-3-d)).,0.0,27#37,3,4,526,538,4,0.37025436758995056
none,6-3-d) have not been violated in the present case.,0.0,27#50,3,4,131,181,11,0.34130215644836426
none,"67), the applicable national legislation and case-law and the practice followed by the domestic courts are to some extent relevant also for the Court.",0.0,27#39,1,2,236,386,25,0.45882728695869446
none,"71) the Court found that an actual threat against the witnesses was not required for the decision to maintain their anonymity to be reasonable, and that previous experience might be relevant.",0.0,27#81,3,4,54,245,31,0.48957186937332153
none,"71, where a reasonableness test was applied).",0.0,27#80,1,2,244,289,7,0.41351833939552307
none,"76, in conjunction with pp.",0.0,27#76,4,7,504,531,5,0.2999696731567383
none,Against this background the Court cannot find that the proceedings taken as a whole were fair.,0.0,27#95,0,1,0,94,17,0.45366159081459045
none,All communication was via a sound link.,0.0,27#20,0,1,0,39,7,0.645280122756958
none,"Although their interests - and indeed those of their families - also deserve protection under the Convention, it must be recognised that their position is to some extent different from that of a disinterested witness or a victim.",0.0,27#11,0,1,0,229,36,0.6540166139602661
none,From the wording of the Doorson judgment it is clear that in that case the Court recognised this primary responsibility of the national court.,0.0,27#78,0,1,0,142,24,0.4123227298259735
none,"Having regard to the place that the right to a fair administration of justice holds in a democratic society, any measures restricting the rights of the defence should be strictly necessary.",0.0,27#15,0,1,0,189,31,0.557489812374115
none,However these measures cannot be considered a proper substitute for the possibility of the defence to question the witnesses in their presence and make their own judgment as to their demeanour and reliability.,0.0,27#27,0,1,0,209,34,0.46337074041366577
none,"However, as noted above, in this matter the domestic case-law and legislation have a relevance of their own.",0.0,27#48,0,1,0,108,19,0.468921422958374
none,"However, had it been in force, the procedure followed by the Court of Appeal would have been in conformity with the rules thereby introduced.",0.0,27#43,0,1,0,141,24,0.44338563084602356
none,I cannot discover from the case file that was before the Court whether this possibility was considered at all.,0.0,27#52,0,1,0,110,20,0.4010022282600403
none,If a less restrictive measure can suffice then that measure should be applied.,0.0,27#16,0,1,0,78,13,0.7059513330459595
none,"In addition, it is in the nature of things that their duties, particularly in the case of arresting officers, may involve giving evidence in open court.",0.0,27#13,0,1,0,152,26,0.5433979034423828
none,"In addition, the applicants considered that they had not had sufficient opportunity to challenge and question the police officers.",0.0,27#3,0,1,0,130,19,0.4745355248451233
none,In the Doorson judgment (loc.,0.0,27#81,0,4,0,29,5,0.30698060989379883
none,"In the Doorson judgment, in which the criterion of ""decisive extent"" was developed and applied (loc.",0.0,27#76,0,7,0,100,16,0.35673922300338745
none,"In the absence of any further information, the Court cannot find that the operational needs of the police provide sufficient justification.",0.0,27#94,0,2,0,139,22,0.5472562313079834
none,In the present case it should also be taken into consideration that some of the witnesses had been wounded while pursuing the robbers.,0.0,27#82,0,1,0,134,23,0.48949530720710754
none,"In the present case, the police officers in question were in a separate room with the investigating judge, from which the accused and even their counsel were excluded.",0.0,27#19,0,1,0,167,28,0.47046780586242676
none,"In this respect, too, the Court should recognise that ""as a general rule it is for the national courts to assess the evidence before them"".",0.0,27#75,0,1,0,139,25,0.4544491469860077
none,It cannot be denied - and indeed it has not been denied - that the possibilities for the defence to interrogate the witnesses were not without limitations.,0.0,27#85,0,1,0,155,26,0.47364532947540283
