kp,#sentences,sentences_coverage,#comments,comments_coverage
none,212,0.7186440677966102,93,0.9029126213592233
In examining whether this interference is justified under para.,29,0.09830508474576272,25,0.24271844660194175
The Commission finds this complaint.,12,0.04067796610169491,12,0.11650485436893204
The court proceedings involving three courts and two oral.,9,0.030508474576271188,9,0.08737864077669903
"Thus, they cannot, on arguable grounds, claim.",7,0.023728813559322035,7,0.06796116504854369
"Moreover, an examination of this complaint does not.",5,0.01694915254237288,5,0.04854368932038835
The Court took this into account when.,5,0.01694915254237288,5,0.04854368932038835
There is thus no indication.,5,0.01694915254237288,5,0.04854368932038835
The Commission finds no appearance.,4,0.013559322033898305,4,0.038834951456310676
The applicant's appeal to the County Administrative.,4,0.013559322033898305,4,0.038834951456310676
"As a general rule, however, it is for the.",3,0.010169491525423728,3,0.02912621359223301
