id,name,argument
1,28.txt,"Moreover, it was practically impossible to know what predictions an administrative body - the British Board of Film Classification - would make as to the outcome of a hypothetical prosecution."
2,28.txt,"In these circumstances, the applicant could not reasonably be expected to foresee the result of the Board’s speculations."
3,28.txt,it was a feature common to most laws and legal systems that tribunals may reach different conclusions even when applying the same law to the same facts.
4,28.txt,This did not necessarily make these laws inaccessible or unforeseeable.
5,28.txt,"Given the infinite variety of ways of publishing ""contemptuous, reviling, scurrilous or ludicrous matter relating to God, Jesus Christ or the Bible"" (see paragraph 27 above), it would not be appropriate for the law to seek to define in detail which images would or would not be potentially blasphemous."
6,28.txt,"The Court reiterates that, according to its case-law, the relevant national ""law"", which includes both statute and common law (see, inter alia, the Sunday Times v. the United Kingdom (no. 1) judgment of 26 April 1979, Series A no. 30, p. 30, para. 47), must be formulated with sufficient precision to enable those concerned - if need be, with appropriate legal advice - to foresee, to a degree that is reasonable in the circumstances, the consequences which a given action may entail."
7,28.txt,"A law that confers a discretion is not in itself inconsistent with this requirement, provided that the scope of the discretion and the manner of its exercise are indicated with sufficient clarity, having regard to the legitimate aim in question, to give the individual adequate protection against arbitrary interference (see, for instance, the Tolstoy Miloslavsky v. the United Kingdom judgment of 13 July 1995, Series A no. 316-B, pp. 71-72, para. 37, and the Goodwin v. the United Kingdom judgment of 27 March 1996, Reports of Judgments and Decisions 1996-II, pp. 496-97, para. 31)."
8,28.txt,"It is observed that, in refusing a certificate for distribution of the applicant’s video on the basis that it infringed a provision of the criminal law of blasphemy, the British Board of Film Classification acted within its powers under section 4 (1) of the 1984 Act (see paragraph 24 above)."
9,28.txt, The Court recognises that the offence of blasphemy cannot by its very nature lend itself to precise legal definition.
10,28.txt,"In his submission, the expression ""rights of others"" in the present context only refers to an actual, positive right not to be offended."
11,28.txt,It does not include a hypothetical right held by some Christians to avoid disturbance at the prospect of other people’s viewing the video work without being shocked.
12,28.txt,"Whether or not there was a real need for protection against exposure to the film in question is a matter which must be addressed below when assessing the ""necessity"" of the interference."
13,28.txt, It is true that the English law of blasphemy only extends to the Christian faith.
14,28.txt,"Indeed the anomaly of this state of affairs in a multidenominational society was recognised by the Divisional Court in R. v. Chief Metropolitan Stipendiary Magistrate, ex parte Choudhury [1991] 1 All England Law Reports 306 at 317 (see paragraph 28 above)."
15,28.txt,"However, it is not for the European Court to rule in abstracto as to the compatibility of domestic law with the Convention."
16,28.txt,The extent to which English law protects other beliefs is not in issue before the Court which must confine its attention to the case before it
17,28.txt,The uncontested fact that the law of blasphemy does not treat on an equal footing the different religions practised in the United Kingdom does not detract from the legitimacy of the aim pursued in the present context.
18,28.txt,The extent to which English law protects other beliefs is not in issue before the Court which must confine its attention to the case before it
19,28.txt,  The Court recalls that freedom of expression constitutes one of the essential foundations of a democratic society.
20,28.txt,"As paragraph 2 of Article 10 (art. 10-2) expressly recognises, however, the exercise of that freedom carries with it duties and responsibilities."
21,28.txt,"Amongst them, in the context of religious beliefs, may legitimately be included a duty to avoid as far as possible an expression that is, in regard to objects of veneration, gratuitously offensive to others and profanatory (see the Otto-Preminger-Institut judgment cited above at paragraph 46, pp. 18-19, paras. 47 and 49)."
22,28.txt,"indeed, the overriding social need was to allow it to be distributed."
23,28.txt,"Furthermore, since adequate protection was already provided by a panoply of laws - concerning, inter alia, obscenity, public order and disturbances to places of religious worship - blasphemy laws, which are incompatible with the European idea of freedom of expression, were also superfluous in practice."
24,28.txt,"In any event, the complete prohibition of a video work that contained no obscenity, no pornography and no element of vilification of Christ was disproportionate to the aim pursued."
25,28.txt,This view was reached by both the Board of Film Classification and the Video Appeals Committee following a careful consideration of the arguments in defence of his work presented by the applicant in the course of two sets of proceedings.
26,28.txt,"Moreover, it was open to the applicant to challenge the decision of the Appeals Committee in proceedings for judicial review (see paragraph 30 above)."
27,28.txt,"Furthermore, having viewed the film for itself, the Court is satisfied that the decisions by the national authorities cannot be said to be arbitrary or excessive."
28,28.txt,"It was submitted by both the applicant and the Delegate of the Commission that a short experimental video work would reach a smaller audience than a major feature film, such as the one at issue in the Otto-Preminger-Institut case (cited above at paragraph 46)."
29,28.txt,"Furthermore, this risk could have been reduced further by restricting the distribution of the film to licensed sex shops (see paragraph 23 above)."
30,28.txt,"Since the film would have been dispensed in video boxes which would have included a description of its content, only consenting adults would ever have been confronted with it."
31,28.txt,"The Court notes, however, that it is in the nature of video works that once they become available on the market they can, in practice, be copied, lent, rented, sold and viewed in different homes, thereby easily escaping any form of control by the authorities. "
32,28.txt,"In these circumstances, it was not unreasonable for the national authorities, bearing in mind the development of the video industry in the United Kingdom (see paragraph 22 above), to consider that the film could have reached a public to whom it would have caused offence."
33,28.txt,The use of a box including a warning as to the film’s content (see paragraph 62 above) would have had only limited efficiency given the varied forms of transmission of video works mentioned above.
34,28.txt,"In any event, here too the national authorities are in a better position than the European Court to make an assessment as to the likely impact of such a video, taking into account the difficulties in protecting the public."
35,28.txt,  It is true that the measures taken by the authorities amounted to a complete ban on the film’s distribution.
36,28.txt,"However, this was an understandable consequence of the opinion of the competent authorities that the distribution of the video would infringe the criminal law and of the refusal of the applicant to amend or cut out the objectionable sequences (see paragraph 13 above)."
